,SNRin,Method,Parameter,Signal_id,Repetition,QRF
0,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'envelope': {'transform': 'asin(sqrt(.))'}, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,0,False
1,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'envelope': {'transform': 'asin(sqrt(.))'}, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,1,True
2,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'envelope': {'transform': 'asin(sqrt(.))'}, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,2,False
3,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'envelope': {'transform': 'asin(sqrt(.))'}, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,3,True
4,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'envelope': {'transform': 'asin(sqrt(.))'}, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,4,True
5,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'envelope': {'transform': 'asin(sqrt(.))'}}",LinearChirp,0,False
6,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'envelope': {'transform': 'asin(sqrt(.))'}}",LinearChirp,1,True
7,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'envelope': {'transform': 'asin(sqrt(.))'}}",LinearChirp,2,False
8,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'envelope': {'transform': 'asin(sqrt(.))'}}",LinearChirp,3,True
9,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'envelope': {'transform': 'asin(sqrt(.))'}}",LinearChirp,4,True
10,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,0,False
11,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,1,True
12,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,2,False
13,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,3,True
14,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,4,True
15,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'envelope': {'transform': 'asin(sqrt(.))'}, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,0,False
16,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'envelope': {'transform': 'asin(sqrt(.))'}, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,1,True
17,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'envelope': {'transform': 'asin(sqrt(.))'}, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,2,False
18,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'envelope': {'transform': 'asin(sqrt(.))'}, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,3,True
19,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'envelope': {'transform': 'asin(sqrt(.))'}, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,4,True
20,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'envelope': {'transform': 'asin(sqrt(.))'}}",LinearChirp,0,False
21,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'envelope': {'transform': 'asin(sqrt(.))'}}",LinearChirp,1,True
22,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'envelope': {'transform': 'asin(sqrt(.))'}}",LinearChirp,2,False
23,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'envelope': {'transform': 'asin(sqrt(.))'}}",LinearChirp,3,True
24,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'envelope': {'transform': 'asin(sqrt(.))'}}",LinearChirp,4,True
25,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,0,False
26,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,1,True
27,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,2,True
28,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,3,True
29,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05, 'global_envelope_test': {'alternative': 'less'}}",LinearChirp,4,True
30,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05}",LinearChirp,0,False
31,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05}",LinearChirp,1,True
32,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05}",LinearChirp,2,False
33,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05}",LinearChirp,3,True
34,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs', 'rmin': 0.65, 'rmax': 1.05}",LinearChirp,4,True
35,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs'}",LinearChirp,0,False
36,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs'}",LinearChirp,1,True
37,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs'}",LinearChirp,2,False
38,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs'}",LinearChirp,3,True
39,5,global_rank_env_test,"{'fun': 'Fest', 'correction': 'rs'}",LinearChirp,4,True
